isbn,title,author,year,publisher,genre
9787229185084,紫禁城三十作,唐炜杰,2024,重庆出版社,0
9787559852533,翦商,李硕,2022,广西师范大学出版社,0
9787572616099,食南之徒,马伯庸,2024,湖南文艺出版社,0
9787572608582,长安的荔枝,马伯庸,2022,湖南文艺出版社,0
9787222224933,从中国出发的全球史,葛兆光主编,2024,云南人民出版社,0
9787208187078,历史的游荡者,李硕,2024,上海人民出版社,0
9787553820385,中国历代政治得失,钱穆,2024,岳麓书社,0
9787559869012,制造亚洲,宋念申,2024,广西师范大学出版社,0
9787301204351,东晋门阀政治,田余庆,2012,北京大学出版社,0
9787801656087,明朝那些事儿（1-9）,当年明月,2009,中国海关出版社,0
9787542643216,叫魂,[美]孔飞力,2014,孔飞力著作集,0
9787108009821,万历十五年,[美]黄仁宇,1997,生活·读书·新知三联书店,0
9787540488475,显微镜下的大明,马伯庸,2019,湖南文艺出版社,0
9787545566062,弃长安,张明扬,2021,天地出版社,0
9787100234245,康熙的红票,孙立天,2024,商务印书馆,0
9787108075369,历史是扩充心量之学,王汎森,2024,生活·读书·新知三联书店,0
9787108050656,天朝的崩溃,茅海建,2014,生活·读书·新知三联书店,0
9787509763247,筚路维艰,萧冬连,2014,社会科学文献出版社,0
9787101164367,宋史测度,[美]刘子健,2024,中华书局,0
9787218166117,奔腾不息,[印]苏尼尔·阿姆瑞斯,2024,广东人民出版社,0
9787221182920,巫蛊乱长安,谭木声,2024,贵州人民出版社,0
9787229167127,饥饿的盛世,张宏杰,2022,重庆出版社,0
9787108015280,中国历代政治得失,钱穆,2001,生活·读书·新知三联书店,0
9787536079113,大明王朝1566,刘和平,2016,花城出版社,0
9787559864253,明代国家权力结构及运行机制,方志远,2024,广西师范大学出版社,0
9787208172036,祥瑞,张向荣,2021,上海人民出版社,0
9787301281482,波峰与波谷,阎步克,2017,北京大学出版社,0
9787510479106,秦亡汉兴,于朝阳,2024,新世界出版社,0
9787547740224,南明史,顾诚,2022,北京日报出版社,0
9787301350188,彼美淑令,罗新主编,2024,北京大学出版社,0
9787513356183,发现东亚,宋念申,2024,新星出版社,0
9787553820002,女主临朝,胡戟,2024,岳麓书社,0
9787508647357,人类简史,[以色列]尤瓦尔·赫拉利,2014,中信出版社,0
9787520214988,南北归一,渤海小吏,2024,中国大百科全书出版社,0
9787559867193,琐言赘语,李孝悌,2024,广西师范大学出版社,0
9787218170367,基辅罗斯,肖瑜,2024,广东人民出版社,0
9787547743126,漫长的余生,罗新,2022,北京日报出版社,0
9787221179364,明清与李朝时代,[日]岸本美绪,2024,贵州人民出版社,0
9787530675816,战国歧途,刘勃,2019,百花文艺出版社,0
9787559867285,魏晋清谈史,龚斌,2024,广西师范大学出版社,0
9787559673510,玛雅通史,[美]迈克尔·D.科,2024,北京联合出版公司,0
9787108041531,邓小平时代,【美】傅高义(Ezra.F.Vogel),2013,生活·读书·新知三联书店,0
9787513351430,入关,张明扬,2023,新星出版社,0
9787218167367,文学之冬,[德]乌维·维特施托克,2024,广东人民出版社,0
9787530677216,失败者的春秋,刘勃,2019,百花文艺出版社,0
9787521226805,钦探,周游,2024,作家出版社,0
9787521761924,欧洲之心,[英]彼得·威尔逊,2024,中信出版社,0
9787547323236,古代中国的帝国网络,[俄]马硕,2024,东方出版中心,0
9787553819624,杜甫的历史图景：盛世,王炳文,2024,岳麓书社,0
9787545577372,长城之外,(美)窦德士,2024,天地出版社,0
9787547746264,古代人的衣食住行,王磊,2024,北京日报出版社,0
9787513945448,战争、法律与现代世界的形成,[英]琳达·科利,2024,民主与建设出版社,0
9787557101176,古今之变,李礼,2024,书海出版社,0
9787203133117,六至九世纪中国政治史,黄永年,2024,山西人民出版社,0
9787573210227,高启：诗人的穷途,[美]牟复礼,2024,上海古籍出版社,0
9787100200578,重建,[美]埃里克·方纳,2024,商务印书馆,0
9787533972530,印度文明史,[美]伯顿·斯坦,2024,浙江文艺出版社,0
9787552042962,史记人物五十讲,杨鹏,2024,上海社会科学院出版社,0
9787520212311,三国争霸（上、中、下）,渤海小吏,2023,中国大百科全书出版社,0
9787559665256,大汉帝国在巴蜀,饶胜文,2023,北京联合出版公司,0
9787508653389,南京大屠杀,[美]张纯如（IrisChang）,2015,中信出版社,0
9787545549447,汴京之围,郭建龙,2019,天地出版社,0
9787208186323,流风回雪,李磊,2024,上海人民出版社,0
9787516827864,透过地理看历史,李不白,2020,台海出版社,0
9787522526027,中国龙的发明,施爱东,2024,九州出版社,0
9787509776223,历史三调,[美]柯文,2015,社会科学文献出版社,0
9787108034731,巨流河,齐邦媛,2010,生活·读书·新知三联书店,0
9787100017664,國史大綱（上下）,錢穆,2013,商务印书馆,0
9787513945202,毁灭与重生,[英]保罗·贝茨,2024,民主与建设出版社,0
9787519300203,中国通史,吕思勉,2016,群言出版社,0
9787510479342,东吴100年,握中悬璧,2024,新世界出版社,0
9787510889981,魏晋南北朝,[日]川胜义雄,2022,九州出版社,0
9787108040367,中国历代政治得失,钱穆,2012,生活·读书·新知三联书店,0
9787522527383,香料之路,[英]约翰·凯伊,2024,九州出版社,0
9787100230407,周制与秦制,冯天瑜,2024,商务印书馆,0
9787516826997,舍不得看完的中国史,渤海小吏,2020,台海出版社,0
9787542680525,凯列班与女巫,[意]西尔维娅·费代里奇,2023,上海三联书店,0
9787513353397,大宋病人,韩福东,2024,新星出版社,0
9787532171552,边界的诱惑,柏琳,2024,上海文艺出版社,0
9787513909884,中华帝国的衰落,魏斐德(FredericWakemanJr.),2017,民主与建设出版社,0
9787301204689,全球通史,(美)斯塔夫里阿诺斯,2012,北京大学出版社,0
9787221182302,王安石“强辩”考,周思成,2024,贵州人民出版社,0
9787218168845,来自英国的冬宫御医,[英]露丝·沃德,2024,广东人民出版社,0
9787513923927,棉花帝国,[美]斯文·贝克特,2019,民主与建设出版社,0
9787213111983,大变局,谌旭彬,2023,浙江人民出版社,0
9787229182427,唐代玄宗肃宗之际的中枢政局,任士英,2024,重庆出版社,0
9787101101621,万历十五年,黄仁宇,2014,中华书局,0
9787301349212,忽如远行客,曲柄睿,2024,北京大学出版社,0
9787510812675,中国历代政治得失,钱穆,2012,九州出版社,0
9787513177856,两汉风云,渤海小吏,2023,开明出版社,0
9787572610912,太白金星有点烦,马伯庸,2023,湖南文艺出版社,0
9787229170646,公主之死,李贞德,2023,重庆出版社,0
9787020184309,奶奶的菜谱,[德]卡琳娜·乌尔巴赫,2024,人民文学出版社,0
9787559602152,明朝那些事儿(增补版)(套装共9册),当年明月,2017,北京联合出版公司,0
9787559602152,明朝那些事儿（增补版）,当年明月,2021,北京联合出版公司,0
9787533970055,世说俗谈,刘勃,2023,浙江文艺出版社,0
9787559869029,洞穴公案,秦涛,2024,广西师范大学出版社,0
9787559844125,现代中国的形成（1600—1949）,李怀印,2022,广西师范大学出版社,0
9787203116592,隳三都,周思成,2021,山西人民出版社,0
9787208184756,官家的心事,吴铮强,2023,上海人民出版社,0
9787559863324,从数学到哲学,[美]王浩,2024,广西师范大学出版社,1
9787532188048,海德格尔导论,[美]理查德·波尔特,2024,上海文艺出版社,1
9787208187450,我不想保持正确,[法]米歇尔·塞尔,2024,上海人民出版社,1
9787513342919,刘擎西方现代思想讲义,刘擎,2021,新星出版社,1
9787201112695,悉达多,[德]赫尔曼·黑塞,2017,天津人民出版社,1
9787532189700,亲密关系的核心是友谊,汪民安,2024,上海文艺出版社,1
9787572616471,赞美闲散,[英]伯特兰·罗素,2024,湖南文艺出版社,1
9787305266256,法国哲学的历险,[法]阿兰·巴迪欧,2024,南京大学出版社,1
9787547323786,黑格尔入门,[德]蒂娜·埃蒙茨,2024,东方出版中心,1
9787572024474,理性的命运,弗雷德里克·拜泽尔,2024,上海教育出版社,1
9787573210623,庄子,[日]蜂屋邦夫,2024,上海古籍出版社,1
9787559632432,西方哲学史（第9版）,(美)撒穆尔·伊诺克·斯通普夫,2019,北京联合出版公司,1
9787521763140,哲学思维,[英]朱利安·巴吉尼,2024,中信出版集团,1
9787301215692,中国哲学简史,冯友兰,2013,北京大学出版社,1
9787108050984,存在与虚无,让·保罗·萨特,2014,生活·读书·新知三联书店,1
9787545219999,理性的反讽,李放春,2024,光启书局,1
9787568944342,德勒兹哲学词汇,[法]弗朗索瓦·祖拉比什维利,2024,重庆大学出版社,1
9787208187467,屏幕上的受苦者,[德]黑特·史德耶尔（HitoSteyerl）,2024,上海人民出版社,1
9787532758012,存在主义是一种人道主义,(法)让-保罗·萨特,2012,上海译文出版社,1
9787208187634,理性之蚀,[德]马克斯·霍克海默（MaxHorkheimer）,2024,上海人民出版社,1
9787100215510,柏拉图与亚里士多德,[美]阿瑟·赫尔曼,2024,商务印书馆,1
9787559660503,在绝望之巅,[法国]E·M·齐奥朗,2022,北京联合出版公司,1
9787100231947,雅克·德里达研讨班论生死,[法]帕斯卡-安娜·布勒,2024,商务印书馆,1
9787111495482,被讨厌的勇气,岸见一郎,2021,机械工业出版社,1
9787550242234,哲学家们都干了些什么?,林欣浩,2015,北京联合出版公司,1
9787573014498,点燃理性的火焰,[瑞典]克里斯特·斯图马克,2024,海南出版社,1
9787301266601,近代哲学史,[德]F.W.J.谢林,2016,北京大学出版社,1
9787201168821,幸福之路,[英]伯特兰·罗素,2021,天津人民出版社,1
9787301349366,先验唯心论体系,F.W.J.谢林,2024,北京大学出版社,1
9787100017565,理想国,[古希腊]柏拉图,1986,商务印书馆,1
9787305274138,黑太阳,[法]朱莉娅·克里斯蒂娃,2024,南京大学出版社,1
9787100210478,虚无主义,[荷兰]诺伦·格尔茨,2022,商务印书馆,1
9787532190225,雅克·拉康,吴琼,2024,上海文艺出版社,1
9787549641789,坏的哀伤，好的哀伤,[美]迈克尔·乔比,2024,文汇出版社,1
9787513306331,哲学的故事,[美]威尔·杜兰特,2013,新星出版社,1
9787547322970,费希特与谢林哲学体系的差异,[德]黑格尔,2024,东方出版中心,1
9787100235358,哲学原理,[法国]笛卡尔,2024,商务印书馆,1
9787542675880,西方哲学史讲演录,赵林,2022,上海三联书店,1
9787532186686,维特根斯坦十讲,楼巍,2023,上海文艺出版社,1
9787572616464,时代的精神状况,[德]卡尔·雅斯贝尔斯,2024,湖南文艺出版社,1
9787521764567,叙事的危机,[德]韩炳哲,2024,中信出版集团,1
9787506394864,苏菲的世界,[挪威]乔斯坦·贾德,2017,作家出版社,1
9787108050977,查拉图斯特拉如是说,(德)尼采,2014,生活·读书·新知三联书店,1
9787108050960,存在与时间,[德]马丁·海德格尔,2014,生活·读书·新知三联书店,1
9787302498872,大问题,[美]罗伯特·所罗门,2018,清华大学出版社,1
9787518412600,哲学的历程(第四版),[美]威廉·F.劳黑德,2017,中国轻工业出版社,1
9787532189281,意义的逻辑,[法]吉尔·德勒兹,2024,上海文艺出版社,1
9787559869265,维特根斯坦私人笔记1914-1916,[奥]路德维希·维特根斯坦著,2024,广西师范大学出版社,1
9787010167350,纯粹理性批判,[德]康德,2017,人民出版社,1
9787547323281,谢林与现代欧洲哲学,[英]安德鲁·鲍伊,2024,东方出版中心,1
9787305266270,资本主义现实主义,[英]马克·费舍,2024,南京大学出版社,1
9787521704693,倦怠社会,[德]韩炳哲,2019,见识城邦,1
9787121364259,有限与无限的游戏,[美]詹姆斯·卡斯,2019,电子工业出版社,1
9787576045161,认识你自己,[法]吕西安·热法尼翁,2024,华东师范大学出版社,1
9787208186873,承认还是歧义？,[德]阿克塞尔·霍耐特,2024,上海人民出版社,1
9787040396041,西方哲学史（修订版）,邓晓芒,2014,高等教育出版社,1
9787521764352,为动物的正义,[美]玛莎·C·努斯鲍姆,2024,中信出版集团,1
9787208121003,人生的智慧,[德]叔本华,2014,上海人民出版社,1
9787305259173,论技术物的存在模式,[法]吉尔贝·西蒙东,2024,南京大学出版社,1
9787513352598,逃出瓶子的精灵,[荷]戈尔·格罗特,2024,新星出版社,1
9787559617293,做哲学,[美]小西奥多·希克,2018,北京联合出版公司,1
9787559610782,存在主义咖啡馆,[英]莎拉·贝克韦尔,2017,北京联合出版公司,1
9787549558292,大问题,[美]罗伯特·所罗门,2014,广西师范大学出版社,1
9787576047882,爱欲的悲喜剧,陈斯一,2024,华东师范大学出版社,1
9787221179722,哲学的100个基本,[日]冈本裕一朗,2024,贵州人民出版社,1
9787553819891,我们活着的理由,[奥]维克多·弗兰克尔,2024,岳麓书社,1
9787567524989,僧侣与哲学家,让-弗朗索瓦•何维勒,2014,华东师范大学出版社,1
9787532189298,黑噪音、白噪音与幽灵之声,姜宇辉,2024,上海文艺出版社,1
9787100094016,会饮篇,[古希腊]柏拉图,2013,商务印书馆,1
9787521764574,时间的香气,[德]韩炳哲,2024,中信出版集团,1
9787550733923,西方哲学史讲义,周国平,2023,深圳出版社,1
9787554855560,小柏拉图·第一辑（7册）,[法]扬·马尔尚,2024,广东教育出版社,1
9787100220866,现象学入门,[丹麦]丹·扎哈维,2023,商务印书馆,1
9787208187986,辩证法导论,[德]西奥多·阿多诺著,2024,上海人民出版社,1
9787559868817,耶拿1800年,[德]彼得·诺伊曼,2024,广西师范大学出版社,1
9787522609621,沉思录,[古罗马]马可·奥勒留,2022,中国水利水电出版社,1
9787521760804,日常的深处,王小伟,2023,中信出版社,1
9787547323243,哲学的二十个夜晚,徐英瑾,2024,东方出版中心,1
9787552020946,像哲学家一样生活,[美]威廉·B．欧文,2018,上海社会科学院出版社,1
9787552043242,生活艺术,[英]齐格蒙特·鲍曼,2024,上海社会科学院出版社,1
9787101151596,道德经,老子,2022,中华书局,1
9787561795101,爱的多重奏,[法]阿兰·巴迪欧,2012,华东师范大学出版社,1
9787542683700,嫉妒与社会,[德]赫尔穆特·舍克,2024,上海三联书店,1
9787559826879,爱的知识,玛莎·努斯鲍姆,2024,广西师范大学出版社,1
9787508697086,爱欲之死,[德]韩炳哲,2019,中信出版社,1
9787522728056,维特根斯坦的哥白尼式革命,[英]伊尔哈姆·迪尔曼,2024,中国社会科学出版社,1
9787522910635,从细菌到巴赫再回来,[美]丹尼尔·丹尼特,2024,中国纺织出版社,1
9787576035728,从树到迷宫,[意]翁贝托·艾柯,2024,华东师范大学出版社,1
9787010009148,毛泽东选集第一卷,毛泽东,1991,人民出版社,1
9787542682505,反讽与现代性话语,(德)恩斯特·贝勒尔(ErnstBehler),2024,上海三联书店,1
9787229040369,禅与摩托车维修艺术,罗伯特•M.波西格(RobertM.Pirsig),2011,重庆出版社,1
9787229131548,禅与摩托车维修艺术,[美]罗伯特·M.波西格,2018,重庆出版社,1
9787100011631,伦理学,斯宾诺莎,1998,商务印书馆,1
9787100011662,作为意志和表象的世界,[德]叔本华,1982,商务印书馆,1
9787511733696,意识形态的崇高客体,[斯洛文尼亚]斯拉沃热·齐泽克,2017,中央编译出版社,1
9787200161021,在哲学中成为马克思主义者,[法]路易·阿尔都塞,2022,北京出版社,1
9787508666792,你的第一本哲学书,[美]托马斯·内格尔,2021,中信出版社,1
9787547742181,哲学家们都干了些什么？,林欣浩,2022,北京日报出版社,1
9787210071976,与神对话,[美]尼尔·唐纳德·沃尔什,2015,江西人民出版社,1
9787308074933,解体概要,[法]萧沆,2010,浙江大学出版社,1
9787521757965,巴别塔,[美]匡灵秀,2023,中信出版集团,2
9787020096695,哈利·波特,J.K.罗琳(J.K.Rowling),2008,人民文学出版社,2
9787229179533,巨龙的颂歌,屈畅,2024,重庆出版社,2
9788016014976,迷宮飯(01),九井諒子,2015,迷宮飯,2
9787539964812,地海传奇2：地海古墓,(美)厄休拉·勒古恩,2013,江苏文艺出版社,2
9787572615085,龙与地下铁,马伯庸,2024,湖南文艺出版社,2
9787544253994,百年孤独,[哥伦比亚]加西亚·马尔克斯,2011,南海出版公司,2
9787530687888,迷宫饭14,（日）九井谅子编绘,2024,百花文艺出版社,2
9787572610912,太白金星有点烦,马伯庸,2023,湖南文艺出版社,2
9787229151430,猎魔人（卷二）,[波兰]安杰伊·萨普科夫斯基,2020,重庆出版社,2
9787572710841,城防十六计,[英]K.J.帕克,2023,四川科学技术出版社,2
9787539964805,地海传奇1,[美]厄休拉·勒古恩,2013,江苏文艺出版社,2
9787223361835,冰与火之歌,[美]乔治·R.R.马丁,2013,重庆出版社,2
9787557021115,诡秘之主1,爱潜水的乌贼,2020,广东旅游出版社,2
9787229151447,猎魔人卷四,[波兰]安杰伊·萨普科夫斯基,2020,重庆出版社,2
9787229177195,V帝国,[俄]维克多·佩列文,2024,重庆出版社,2
9787539965864,地海传奇3,(美)厄休拉·勒奎恩,2013,江苏文艺出版社,2
9787572703515,弓之力,[英]K.J.帕克,2022,四川科学技术出版社,2
9787559445735,坟场之书,[英]尼尔·盖曼,2020,江苏凤凰文艺出版社,2
9787539966632,地海传奇4,(美)厄休拉·勒奎恩,2013,江苏文艺出版社,2
9787536499034,钢之色,[英]K.J.帕克,2020,四川科学技术出版社,2
9788016024456,迷宮飯(04),九井諒子,2017,迷宮飯,2
9787572600883,皮拉内西,[英国]苏珊娜·克拉克,2021,湖南文艺出版社,2
9789863565437,迷宮飯(06),九井諒子,2018,迷宮飯,2
9787807407904,盗墓笔记,南派三叔,2011,上海文化出版社,2
9787229151485,猎魔人（卷一）,[波兰]安杰伊·萨普科夫斯基,2020,重庆出版社,2
9787541166563,诡秘之主17,爱潜水的乌贼,2023,四川文艺出版社,2
9786263225985,迷宮飯(11),九井諒子,2022,迷宮飯,2
9789865127053,迷宮飯(09),九井諒子,2021,迷宮飯,2
9788016015966,迷宮飯(02),九井諒子,2015,迷宮飯,2
9787020042494,小王子,[法]圣埃克苏佩里,2003,人民文学出版社,2
9789865122119,迷宮飯(07),九井諒子,2020,迷宮飯,2
9787572705649,甲胄之殇,[英]K.J.帕克,2022,四川科学技术出版社,2
9787533946142,克苏鲁神话,[美]H.P.洛夫克拉夫特,2016,浙江文艺出版社,2
9789865124137,迷宮飯(08),九井諒子,2020,迷宮飯,2
9786263038318,迷宮飯(10),九井諒子,2022,迷宮飯,2
9787544716888,奇风岁月,罗伯特•麦卡蒙,2011,译林出版社,2
9787513328883,黑暗精灵,[美]R·A·萨尔瓦多,2017,新星出版社,2
9787539966854,地海传奇6,(美)厄休拉·勒奎恩,2014,江苏文艺出版社,2
9787530687871,迷宫饭13,（日）九井谅子编绘,2024,百花文艺出版社,2
9787536496101,紫与黑,[英]K.J.帕克,2020,四川科学技术出版社,2
9787229151423,猎魔人卷三,[波兰]安杰伊·萨普科夫斯基,2020,重庆出版社,2
9789572691175,葬送的芙莉蓮07,山田鐘人,2022,葬送的芙莉蓮,2
9787208144828,贝伦与露西恩,[英]J.R.R.托尔金著,2017,上海人民出版社,2
9787229090524,渡鸦之影Ⅰ,[英]安东尼·雷恩,2015,重庆出版社,2
9788016027914,迷宮飯(05),九井諒子,2018,迷宮飯,2
9786263405967,迷宮飯(12),九井諒子,2023,迷宮飯,2
9789572666036,葬送的芙莉蓮02,山田鐘人,2021,葬送的芙莉蓮,2
9787541166341,诡秘之主16,爱潜水的乌贼,2023,四川文艺出版社,2
9787559665539,她对此感到厌烦,妚鹤,2023,北京联合出版公司,2
9787229141035,皇帝魂,[美]布兰登·桑德森,2019,重庆出版社,2
9787020095377,哈尔的移动城堡,[英]戴安娜•韦恩•琼斯,2013,人民文学出版社,2
9787559418364,好兆头,[英]特里·普拉切特,2018,江苏凤凰文艺出版社,2
9787229158675,寻找杰克,[英]柴纳·米耶维,2023,重庆出版社,2
9789572666043,葬送的芙莉蓮03,山田鐘人,2021,葬送的芙莉蓮,2
9787229157753,第一律法:无鞘之剑,[英]乔·阿克罗比,2021,重庆出版社,2
9787544722346,分成两半的子爵,[意]伊塔洛·卡尔维诺,2012,译林出版社,2
9787551168922,克苏鲁神话Ⅴ,[美]H.P.洛夫克拉夫特,2024,花山文艺出版社,2
9789571039640,暮光之城,史蒂芬妮．梅爾,2008,暮光之城,2
9789572682487,葬送的芙莉蓮06,山田鐘人,2022,葬送的芙莉蓮,2
9787532791347,银河铁道之夜,[日]宫泽贤治,2023,上海译文出版社,2
9787532172788,大师和玛格丽特,(苏)布尔加科夫,2019,上海文艺出版社,2
9787572608933,暗狩之师:兰陵王,[日]梦枕貘,2023,湖南文艺出版社,2
9787229151454,猎魔人卷五,[波兰]安杰伊·萨普科夫斯基,2020,重庆出版社,2
9787229151461,猎魔人卷六,[波兰]安杰伊·萨普科夫斯基,2020,重庆出版社,2
9787229151478,猎魔人卷七,[波兰]安杰伊·萨普科夫斯基,2020,重庆出版社,2
9787544722797,不存在的骑士,[意]伊塔洛·卡尔维诺,2012,译林出版社,2
9787807551379,诛仙全集（全六册）,萧鼎,2008,花山文艺出版社,2
9787229150211,迷雾之子卷一,[美]布兰登·山德森,2020,重庆出版社,2
9787020065271,黄昏使者,（俄）谢尔盖·卢基扬年科,2008,人民文学出版社,2
9787547746417,这一切纯属偶然！,[日]伊坂幸太郎,2024,北京日报出版社,2
9787542669964,夜晚的潜水艇,陈春成,2020,上海三联书店,2
9787522524726,DK魔法百科,英国DK出版公司,2024,九州出版社,2
9787536493308,炼金术战争：机械人,[美]伊恩·特里吉利斯,2019,四川科学技术出版社,2
9784098608669,フールナイト1,安田佳澄,2021,フールナイト,2
9787541169380,霍比特人,[英]J.R.R.托尔金,2024,四川文艺出版社,2
9787229047221,冰与火之歌（卷一）,乔治·马丁,2012,重庆出版社,2
9787549258796,大王饶命1,会说话的肘子,2018,长江出版社,2
9789572675625,葬送的芙莉蓮04,山田鐘人,2021,葬送的芙莉蓮,2
9787802282834,九州·缥缈录Ⅲ·天下名将,江南,2007,新世界出版社,2
9787562474999,飓光志第一卷：王者之路（全三册）,(美)布兰登·桑德森,2013,重庆大学出版社,2
9787513346917,魔龙之书,[澳]乔纳森·斯特拉罕,2022,新星出版社,2
9787530687932,异兽迷城,彭湃,2024,百花文艺出版社,2
9787208133693,饕餮娘子1：桃花谣,佟婕,2016,上海人民出版社,2
9787559420039,乌有乡,[英]尼尔·盖曼,2019,江苏凤凰文艺出版社,2
9787541165412,诡秘之主14,爱潜水的乌贼,2023,四川文艺出版社,2
9787532761296,黑质三部曲,菲利普•普尔曼(PhilipPullman),2013,上海译文出版社,2
9788016020915,迷宮飯(03),九井諒子,2016,迷宮飯,2
9787544752473,你一生的故事,[美]特德·姜,2015,译林出版社,2
9787229158736,英雄,[英]乔·阿克罗比,2021,重庆出版社,2
9787208183902,托尔金传,[英]汉弗莱·卡彭特,2024,上海人民出版社,2
9787535436900,幻城,郭敬明,2008,长江文艺出版社,2
9787539966847,地海传奇5,(美)厄休拉·勒古恩,2014,江苏文艺出版社,2
9787572612312,破烂回收店,[日]小林泰三,2023,湖南文艺出版社,2
9787572612329,要来块水果塔吗？,[日]小林泰三,2023,湖南文艺出版社,2
9787541167317,诡秘之主18,爱潜水的乌贼,2023,四川文艺出版社,2
9787020043279,哈利·波特与凤凰社,[英]J.K.罗琳,2003,人民文学出版社,2
9787555913689,失明症漫记,[葡]若泽·萨拉马戈,2022,河南文艺出版社,2
9787541167744,枭起青壤,尾鱼,2024,四川文艺出版社,2
9787541165955,诡秘之主15,爱潜水的乌贼,2023,四川文艺出版社,2
9787572616099,食南之徒,马伯庸,2024,湖南文艺出版社,3
